Invoice ID,Customer ID,Customer Name,Branch,City,State,Customer Type,Gender,Brand,Product,Product Line,Unit Price,Quantity,Discount %,Discount Amount,Tax,Total,Date,Time,Payment,COGS,Gross Margin %,Gross Income,Rating,Salesperson,Stock Available
INV00002047,CUST1216,Arjun Yadav,Chennai,Chennai,Tamil Nadu,Regular,Male,Tata,Tata Tea Gold,Beverages,357.18,6,5,107.15,101.8,2137.73,2022-04-07,20:42,Cash,2143.08,4.7619,101.8,6.0,Karan Gupta,340
INV00002048,CUST1332,Vivaan Verma,Bengaluru,Bengaluru,Karnataka,Member,Female,Britannia,Britannia Bread,Bakery,164.48,7,15,172.7,48.93,1027.59,2022-01-11,14:59,Cash,1151.36,4.7619,48.93,4.4,Aditya Roy,74
INV00002049,CUST2368,Neha Jain,Bengaluru,Bengaluru,Karnataka,Member,Male,Tata,Tata Salt,Grocery,194.76,1,15,29.21,8.28,173.83,2022-10-03,11:50,Debit Card,194.76,4.7619,8.28,8.0,Vivaan Roy,419
INV00002050,CUST1707,Vivaan Sharma,Delhi NCR,New Delhi,Delhi,Member,Male,Cadbury,Dairy Milk,Confectionery,120.94,3,0,0.0,18.14,380.96,2024-03-31,22:15,Credit Card,362.82,4.7619,18.14,5.4,Diya Gupta,281
INV00002051,CUST1861,Rahul Reddy,Mumbai,Mumbai,Maharashtra,Regular,Male,Amul,Amul Milk,Dairy,945.21,1,20,189.04,37.81,793.98,2023-06-24,17:18,Credit Card,945.21,4.7619,37.81,9.3,Ishita Roy,66
INV00002052,CUST1163,Saanvi Yadav,Delhi NCR,New Delhi,Delhi,Regular,Male,HUL,Red Label Tea,Beverages,963.56,1,20,192.71,38.54,809.39,2023-08-26,19:38,Wallet,963.56,4.7619,38.54,8.4,Sneha Nair,166
INV00002053,CUST1580,Saanvi Pramanik,Mumbai,Mumbai,Maharashtra,Regular,Male,Unilever,Clinic Plus Shampoo,Personal Care,242.14,2,10,48.43,21.79,457.64,2024-09-11,20:58,Cash,484.28,4.7619,21.79,6.3,Ishita Mukherjee,13
INV00002054,CUST1150,Priya Roy,Mumbai,Mumbai,Maharashtra,Regular,Female,Colgate,Colgate Toothpaste,Personal Care,134.46,3,20,80.68,16.14,338.84,2022-09-06,09:39,Credit Card,403.38,4.7619,16.14,4.2,Rahul Sharma,66
INV00002055,CUST1587,Diya Sharma,Hyderabad,Hyderabad,Telangana,Member,Male,Coca-Cola,Coca-Cola,Beverages,804.48,2,0,0.0,80.45,1689.41,2023-11-07,22:49,Debit Card,1608.96,4.7619,80.45,9.8,Riya Ghosh,47
INV00002056,CUST1429,Pooja Patel,Bengaluru,Bengaluru,Karnataka,Member,Male,Colgate,Colgate Toothpaste,Personal Care,987.03,3,5,148.05,140.65,2953.69,2024-04-30,16:17,Debit Card,2961.09,4.7619,140.65,6.0,Diya Sharma,411
INV00002057,CUST2165,Meera Sharma,Salt Lake,Kolkata,West Bengal,Wholesale,Male,Cadbury,Bournvita,Health,996.26,7,0,0.0,348.69,7322.51,2022-09-07,22:19,Credit Card,6973.82,4.7619,348.69,9.2,Sneha Das,326
INV00002058,CUST1874,Vivaan Pramanik,Ahmedabad,Ahmedabad,Gujarat,Member,Male,Coca-Cola,Coca-Cola,Beverages,1191.78,6,5,357.53,339.66,7132.81,2023-02-14,18:03,Wallet,7150.68,4.7619,339.66,5.5,Ananya Ghosh,33
INV00002059,CUST2456,Aditya Gupta,Mumbai,Mumbai,Maharashtra,Member,Male,Adani Wilmar,Fortune Sunflower Oil,Grocery,700.27,8,5,280.11,266.1,5588.15,2024-06-07,15:02,Wallet,5602.16,4.7619,266.1,6.1,Ishita Roy,441
INV00002060,CUST1201,Pooja Jain,Pune,Pune,Maharashtra,Regular,Female,HUL,Red Label Tea,Beverages,261.76,1,0,0.0,13.09,274.85,2024-12-11,13:42,Cash,261.76,4.7619,13.09,4.5,Vivaan Gupta,374
INV00002061,CUST2445,Rahul Mukherjee,Bengaluru,Bengaluru,Karnataka,Wholesale,Female,HUL,Surf Excel,Home Care,118.46,2,5,11.85,11.25,236.32,2022-10-06,12:26,Cash,236.92,4.7619,11.25,4.5,Meera Das,215
INV00002062,CUST2064,Aditi Verma,Hyderabad,Hyderabad,Telangana,Wholesale,Male,Tata,Tata Tea Gold,Beverages,1189.72,2,0,0.0,118.97,2498.41,2022-10-22,18:51,Wallet,2379.44,4.7619,118.97,9.3,Aditi Reddy,232
INV00002063,CUST2102,Akash Singh,Chennai,Chennai,Tamil Nadu,Member,Female,ITC,Aashirvaad Atta,Grocery,366.07,6,15,329.46,93.35,1960.31,2023-08-06,08:37,UPI,2196.42,4.7619,93.35,5.9,Meera Yadav,86
INV00002064,CUST1474,Krishna Mukherjee,Chennai,Chennai,Tamil Nadu,Wholesale,Male,Colgate,Colgate Toothpaste,Personal Care,801.01,7,0,0.0,280.35,5887.42,2022-05-30,20:59,Debit Card,5607.07,4.7619,280.35,9.8,Meera Pramanik,347
INV00002065,CUST2238,Priya Roy,Hyderabad,Hyderabad,Telangana,Regular,Male,Cadbury,Bournvita,Health,1057.33,4,20,845.86,169.17,3552.63,2023-10-08,11:06,UPI,4229.32,4.7619,169.17,6.7,Pooja Jain,346
INV00002066,CUST2403,Saanvi Jain,Hyderabad,Hyderabad,Telangana,Member,Male,HUL,Red Label Tea,Beverages,452.28,3,0,0.0,67.84,1424.68,2022-12-09,20:31,Wallet,1356.84,4.7619,67.84,4.4,Sneha Nair,285
INV00002067,CUST1136,Rohan Pramanik,Kolkata Central,Kolkata,West Bengal,Member,Female,Nestlé,Nescafé Coffee,Beverages,342.88,3,20,205.73,41.15,864.06,2023-04-06,21:26,UPI,1028.64,4.7619,41.15,7.6,Pooja Nair,163
INV00002068,CUST1747,Diya Nair,Delhi NCR,New Delhi,Delhi,Wholesale,Female,P&G,Tide Detergent,Home Care,32.14,8,0,0.0,12.86,269.98,2023-12-24,19:49,Wallet,257.12,4.7619,12.86,8.1,Akash Jain,280
INV00002069,CUST2386,Aarav Roy,Delhi NCR,New Delhi,Delhi,Wholesale,Male,Cadbury,Dairy Milk,Confectionery,53.7,4,5,10.74,10.2,214.26,2023-02-19,12:59,Credit Card,214.8,4.7619,10.2,7.7,Rohan Pramanik,484
INV00002070,CUST2059,Rohan Mukherjee,Hyderabad,Hyderabad,Telangana,Regular,Female,Unilever,Dove Soap,Personal Care,425.0,2,0,0.0,42.5,892.5,2022-09-21,09:51,Cash,850.0,4.7619,42.5,4.3,Aarav Yadav,215
INV00002071,CUST1810,Karan Pramanik,Salt Lake,Kolkata,West Bengal,Member,Female,Colgate,Colgate Toothpaste,Personal Care,404.97,4,15,242.98,68.85,1445.75,2022-08-28,09:44,UPI,1619.88,4.7619,68.85,8.3,Aditya Roy,52
INV00002072,CUST2495,Vivaan Pramanik,Delhi NCR,New Delhi,Delhi,Member,Female,Britannia,Britannia Bread,Bakery,112.65,4,0,0.0,22.53,473.13,2024-07-07,16:25,Debit Card,450.6,4.7619,22.53,6.2,Pooja Ghosh,26
INV00002073,CUST1910,Akash Sharma,Delhi NCR,New Delhi,Delhi,Member,Female,Colgate,Colgate Toothpaste,Personal Care,89.78,6,20,107.74,21.55,452.49,2022-02-25,13:44,Credit Card,538.68,4.7619,21.55,4.7,Sneha Mukherjee,422
INV00002074,CUST2260,Krishna Singh,Salt Lake,Kolkata,West Bengal,Member,Female,Unilever,Lux Soap,Personal Care,442.43,8,20,707.89,141.58,2973.13,2022-03-12,16:14,Credit Card,3539.44,4.7619,141.58,8.4,Rohan Gupta,169
INV00002075,CUST1948,Riya Verma,Salt Lake,Kolkata,West Bengal,Regular,Female,Parle,Parle-G,Snacks,586.54,8,10,469.23,211.15,4434.24,2024-07-04,09:58,Wallet,4692.32,4.7619,211.15,6.6,Priya Pramanik,333
INV00002076,CUST2042,Aditi Das,Delhi NCR,New Delhi,Delhi,Member,Female,Unilever,Clinic Plus Shampoo,Personal Care,291.28,3,0,0.0,43.69,917.53,2024-05-02,10:58,Wallet,873.84,4.7619,43.69,4.5,Neha Reddy,310
INV00002077,CUST1754,Krishna Patel,Mumbai,Mumbai,Maharashtra,Wholesale,Male,HUL,Red Label Tea,Beverages,972.48,7,0,0.0,340.37,7147.73,2022-05-10,10:51,Credit Card,6807.36,4.7619,340.37,7.3,Neha Nair,176
INV00002078,CUST1607,Aditi Sharma,Bengaluru,Bengaluru,Karnataka,Regular,Male,Amul,Amul Milk,Dairy,553.21,3,20,331.93,66.39,1394.09,2023-02-06,17:28,UPI,1659.63,4.7619,66.39,5.0,Ananya Yadav,384
INV00002079,CUST1498,Ananya Verma,Salt Lake,Kolkata,West Bengal,Regular,Female,Britannia,Britannia Bread,Bakery,752.84,6,5,225.85,214.56,4505.75,2022-07-25,10:06,Wallet,4517.04,4.7619,214.56,5.6,Vivaan Roy,89
INV00002080,CUST2376,Neha Jain,Hyderabad,Hyderabad,Telangana,Wholesale,Female,Tata,Tata Salt,Grocery,790.54,4,15,474.32,134.39,2822.23,2023-05-02,19:25,UPI,3162.16,4.7619,134.39,9.3,Riya Patel,65
INV00002081,CUST1394,Neha Mukherjee,Ahmedabad,Ahmedabad,Gujarat,Wholesale,Male,Nestlé,Nescafé Coffee,Beverages,528.35,5,20,528.35,105.67,2219.07,2022-10-22,10:33,Cash,2641.75,4.7619,105.67,4.5,Diya Das,74
INV00002082,CUST2472,Ishita Reddy,Mumbai,Mumbai,Maharashtra,Member,Female,Nestlé,Nescafé Coffee,Beverages,126.92,2,5,12.69,12.06,253.21,2024-10-18,22:45,UPI,253.84,4.7619,12.06,8.1,Sneha Singh,409
INV00002083,CUST1018,Karan Das,Pune,Pune,Maharashtra,Regular,Male,Nestlé,Maggi Noodles,Instant Food,330.23,5,5,82.56,78.43,1647.02,2023-01-25,10:29,Credit Card,1651.15,4.7619,78.43,7.5,Aditya Pramanik,500
INV00002084,CUST1289,Krishna Ghosh,Hyderabad,Hyderabad,Telangana,Wholesale,Female,Adani Wilmar,Fortune Sunflower Oil,Grocery,660.28,7,0,0.0,231.1,4853.06,2022-02-19,21:19,UPI,4621.96,4.7619,231.1,8.4,Priya Roy,415
INV00002085,CUST2438,Meera Mukherjee,Chennai,Chennai,Tamil Nadu,Member,Male,Nestlé,Nescafé Coffee,Beverages,456.7,6,0,0.0,137.01,2877.21,2024-01-05,18:45,Credit Card,2740.2,4.7619,137.01,5.0,Priya Das,47
INV00002086,CUST1423,Krishna Gupta,Delhi NCR,New Delhi,Delhi,Wholesale,Male,P&G,Tide Detergent,Home Care,474.07,8,5,189.63,180.15,3783.08,2023-11-12,19:51,Debit Card,3792.56,4.7619,180.15,5.1,Neha Jain,398
INV00002087,CUST2094,Aarav Nair,Delhi NCR,New Delhi,Delhi,Member,Female,Unilever,Clinic Plus Shampoo,Personal Care,321.17,3,20,192.7,38.54,809.35,2024-03-20,11:43,Wallet,963.51,4.7619,38.54,5.9,Pooja Reddy,471
INV00002088,CUST2336,Neha Reddy,Mumbai,Mumbai,Maharashtra,Member,Male,Amul,Amul Milk,Dairy,542.1,6,20,650.52,130.1,2732.18,2022-01-08,12:08,Credit Card,3252.6,4.7619,130.1,5.6,Neha Roy,27
INV00002089,CUST1354,Sneha Mukherjee,Salt Lake,Kolkata,West Bengal,Member,Female,Nestlé,Nescafé Coffee,Beverages,808.62,3,5,121.29,115.23,2419.8,2022-09-14,17:26,Credit Card,2425.86,4.7619,115.23,5.1,Priya Jain,242
INV00002090,CUST1188,Pooja Das,Delhi NCR,New Delhi,Delhi,Regular,Female,Amul,Amul Milk,Dairy,290.14,2,15,87.04,24.66,517.9,2023-09-11,17:02,UPI,580.28,4.7619,24.66,10.0,Rahul Patel,481
INV00002091,CUST1083,Aditi Jain,Mumbai,Mumbai,Maharashtra,Member,Male,Amul,Amul Milk,Dairy,925.63,8,5,370.25,351.74,7386.53,2024-10-09,11:01,UPI,7405.04,4.7619,351.74,4.2,Aditi Gupta,191
INV00002092,CUST1664,Ananya Mukherjee,Howrah,Howrah,West Bengal,Member,Male,Tata,Tata Tea Gold,Beverages,651.97,8,15,782.36,221.67,4655.07,2023-01-28,08:42,Wallet,5215.76,4.7619,221.67,5.4,Sneha Jain,318
INV00002093,CUST1656,Krishna Verma,Mumbai,Mumbai,Maharashtra,Regular,Male,India Gate,Basmati Rice,Grocery,346.37,5,15,259.78,73.6,1545.67,2024-03-11,13:06,Wallet,1731.85,4.7619,73.6,5.4,Krishna Singh,486
INV00002094,CUST2486,Arjun Patel,Chennai,Chennai,Tamil Nadu,Member,Female,Tata,Tata Salt,Grocery,453.38,1,20,90.68,18.14,380.84,2024-03-11,18:26,Cash,453.38,4.7619,18.14,3.8,Akash Reddy,325
INV00002095,CUST2195,Rohan Roy,Chennai,Chennai,Tamil Nadu,Wholesale,Female,PepsiCo,Pepsi,Beverages,255.17,5,10,127.58,57.41,1205.68,2024-09-12,10:29,Debit Card,1275.85,4.7619,57.41,5.3,Priya Reddy,260
INV00002096,CUST1805,Ananya Singh,Hyderabad,Hyderabad,Telangana,Member,Male,Adani Wilmar,Fortune Sunflower Oil,Grocery,185.97,3,15,83.69,23.71,497.93,2024-01-09,18:14,Cash,557.91,4.7619,23.71,8.3,Rohan Reddy,168
INV00002097,CUST1783,Ananya Sharma,Ahmedabad,Ahmedabad,Gujarat,Wholesale,Male,Amul,Amul Milk,Dairy,308.32,5,5,77.08,73.23,1537.75,2024-11-18,22:42,Cash,1541.6,4.7619,73.23,9.5,Sneha Nair,32
INV00002098,CUST2151,Riya Reddy,Mumbai,Mumbai,Maharashtra,Regular,Male,Tata,Tata Salt,Grocery,419.45,8,5,167.78,159.39,3347.21,2024-03-24,21:36,Debit Card,3355.6,4.7619,159.39,7.9,Aditya Mukherjee,396
INV00002099,CUST1379,Akash Jain,Salt Lake,Kolkata,West Bengal,Wholesale,Male,Unilever,Lux Soap,Personal Care,438.96,4,20,351.17,70.23,1474.9,2022-03-18,08:31,UPI,1755.84,4.7619,70.23,7.3,Pooja Reddy,234
INV00002100,CUST1271,Ananya Das,Ahmedabad,Ahmedabad,Gujarat,Member,Male,HUL,Red Label Tea,Beverages,490.68,1,5,24.53,23.31,489.46,2022-07-15,15:01,UPI,490.68,4.7619,23.31,8.2,Akash Reddy,123
INV00002101,CUST2019,Aditi Singh,Howrah,Howrah,West Bengal,Regular,Male,Tata,Tata Tea Gold,Beverages,580.26,4,20,464.21,92.84,1949.67,2022-12-04,15:04,Credit Card,2321.04,4.7619,92.84,4.4,Rohan Yadav,58
INV00002102,CUST1510,Saanvi Verma,Howrah,Howrah,West Bengal,Regular,Female,Amul,Amul Milk,Dairy,707.52,8,5,283.01,268.86,5646.01,2022-10-14,09:15,Cash,5660.16,4.7619,268.86,8.8,Diya Singh,445
INV00002103,CUST1489,Aarav Jain,Kolkata Central,Kolkata,West Bengal,Wholesale,Female,Cadbury,Dairy Milk,Confectionery,456.6,5,10,228.3,102.73,2157.43,2022-08-25,09:49,Wallet,2283.0,4.7619,102.73,9.8,Karan Das,32
INV00002104,CUST2138,Vivaan Verma,Hyderabad,Hyderabad,Telangana,Member,Male,Unilever,Clinic Plus Shampoo,Personal Care,450.77,4,10,180.31,81.14,1703.91,2023-03-05,09:57,Debit Card,1803.08,4.7619,81.14,9.4,Pooja Ghosh,400
INV00002105,CUST1264,Aditi Gupta,Bengaluru,Bengaluru,Karnataka,Wholesale,Female,Parle,Parle-G,Snacks,1102.51,1,5,55.13,52.37,1099.75,2022-11-09,21:16,UPI,1102.51,4.7619,52.37,9.8,Meera Patel,296
INV00002106,CUST2363,Arjun Patel,Chennai,Chennai,Tamil Nadu,Wholesale,Male,ITC,Aashirvaad Atta,Grocery,340.26,2,20,136.1,27.22,571.64,2024-04-21,20:39,Wallet,680.52,4.7619,27.22,4.0,Neha Roy,237
INV00002107,CUST2295,Saanvi Singh,Ahmedabad,Ahmedabad,Gujarat,Member,Female,PepsiCo,Lay's Chips,Snacks,646.87,5,20,646.87,129.37,2716.85,2024-10-16,13:04,UPI,3234.35,4.7619,129.37,9.4,Meera Das,398
INV00002108,CUST2443,Ishita Yadav,Chennai,Chennai,Tamil Nadu,Wholesale,Male,Britannia,Good Day Biscuits,Snacks,483.22,8,15,579.86,164.3,3450.2,2024-12-28,19:33,UPI,3865.76,4.7619,164.3,5.5,Priya Reddy,281
INV00002109,CUST2480,Priya Patel,Chennai,Chennai,Tamil Nadu,Member,Male,Cadbury,Dairy Milk,Confectionery,179.48,3,15,80.77,22.88,480.55,2024-08-02,09:39,Wallet,538.44,4.7619,22.88,4.4,Arjun Gupta,410
INV00002110,CUST2161,Sneha Roy,Pune,Pune,Maharashtra,Wholesale,Male,Unilever,Lux Soap,Personal Care,389.31,3,15,175.19,49.64,1042.38,2023-05-21,12:55,Cash,1167.93,4.7619,49.64,5.4,Vivaan Mukherjee,217
INV00002111,CUST2049,Akash Patel,Pune,Pune,Maharashtra,Member,Female,P&G,Tide Detergent,Home Care,556.55,4,5,111.31,105.74,2220.63,2022-12-12,13:52,Cash,2226.2,4.7619,105.74,4.9,Riya Patel,145
INV00002112,CUST2466,Pooja Patel,Bengaluru,Bengaluru,Karnataka,Regular,Female,Patanjali,Patanjali Honey,Health,906.42,8,0,0.0,362.57,7613.93,2022-01-16,12:49,UPI,7251.36,4.7619,362.57,5.4,Diya Ghosh,416
INV00002113,CUST1866,Ananya Jain,Mumbai,Mumbai,Maharashtra,Member,Male,P&G,Tide Detergent,Home Care,15.14,4,0,0.0,3.03,63.59,2022-10-19,21:35,Cash,60.56,4.7619,3.03,5.9,Meera Verma,235
INV00002114,CUST2061,Aditya Singh,Howrah,Howrah,West Bengal,Regular,Female,Amul,Amul Milk,Dairy,1155.71,3,20,693.43,138.69,2912.39,2024-12-30,10:44,Debit Card,3467.13,4.7619,138.69,9.1,Aarav Sharma,238
INV00002115,CUST2229,Karan Yadav,Chennai,Chennai,Tamil Nadu,Wholesale,Male,Amul,Amul Butter,Dairy,1016.38,1,20,203.28,40.66,853.76,2024-02-25,10:12,Credit Card,1016.38,4.7619,40.66,5.2,Akash Nair,9
INV00002116,CUST2100,Riya Gupta,Salt Lake,Kolkata,West Bengal,Member,Male,Nestlé,Nescafé Coffee,Beverages,491.88,1,5,24.59,23.36,490.65,2024-10-14,20:37,Debit Card,491.88,4.7619,23.36,5.5,Neha Nair,72
INV00002117,CUST2352,Aditi Gupta,Delhi NCR,New Delhi,Delhi,Regular,Female,Adani Wilmar,Fortune Sunflower Oil,Grocery,454.75,4,0,0.0,90.95,1909.95,2024-10-20,11:13,Debit Card,1819.0,4.7619,90.95,4.8,Pooja Sharma,385
INV00002118,CUST2075,Ananya Patel,Howrah,Howrah,West Bengal,Regular,Female,PepsiCo,Pepsi,Beverages,424.81,7,5,148.68,141.25,2966.24,2023-03-26,20:42,Cash,2973.67,4.7619,141.25,4.8,Karan Nair,132
INV00002119,CUST1029,Sneha Pramanik,Ahmedabad,Ahmedabad,Gujarat,Wholesale,Female,Amul,Amul Butter,Dairy,384.72,1,10,38.47,17.31,363.56,2022-06-17,17:19,Debit Card,384.72,4.7619,17.31,6.3,Akash Reddy,497
INV00002120,CUST2376,Ananya Nair,Chennai,Chennai,Tamil Nadu,Wholesale,Male,Unilever,Clinic Plus Shampoo,Personal Care,1157.81,3,5,173.67,164.99,3464.75,2024-06-03,22:26,Cash,3473.43,4.7619,164.99,9.6,Aditya Roy,27
INV00002121,CUST2169,Ishita Patel,Ahmedabad,Ahmedabad,Gujarat,Regular,Male,India Gate,Basmati Rice,Grocery,277.76,2,10,55.55,25.0,524.97,2023-06-29,12:18,Credit Card,555.52,4.7619,25.0,7.3,Saanvi Das,266
INV00002122,CUST1147,Vivaan Mukherjee,Bengaluru,Bengaluru,Karnataka,Wholesale,Female,ITC,Aashirvaad Atta,Grocery,655.4,2,10,131.08,58.99,1238.71,2023-06-16,16:02,Cash,1310.8,4.7619,58.99,8.2,Ishita Singh,494
INV00002123,CUST1440,Pooja Singh,Pune,Pune,Maharashtra,Member,Female,Nestlé,Maggi Noodles,Instant Food,662.66,6,10,397.6,178.92,3757.28,2023-01-25,14:39,Debit Card,3975.96,4.7619,178.92,7.6,Meera Ghosh,9
INV00002124,CUST2289,Rahul Roy,Kolkata Central,Kolkata,West Bengal,Wholesale,Female,Unilever,Lux Soap,Personal Care,630.66,5,0,0.0,157.67,3310.97,2022-10-03,21:38,UPI,3153.3,4.7619,157.67,4.8,Rahul Nair,165
INV00002125,CUST2437,Diya Ghosh,Howrah,Howrah,West Bengal,Wholesale,Male,India Gate,Basmati Rice,Grocery,1088.37,3,10,326.51,146.93,3085.53,2024-11-15,21:58,Credit Card,3265.11,4.7619,146.93,5.2,Akash Reddy,146
INV00002126,CUST2000,Aditi Reddy,Chennai,Chennai,Tamil Nadu,Regular,Male,Cadbury,Bournvita,Health,1037.5,6,15,933.75,264.56,5555.81,2024-10-08,16:55,Credit Card,6225.0,4.7619,264.56,8.0,Vivaan Yadav,51
INV00002127,CUST1731,Rahul Nair,Chennai,Chennai,Tamil Nadu,Wholesale,Male,Adani Wilmar,Fortune Sunflower Oil,Grocery,355.17,5,0,0.0,88.79,1864.64,2024-10-08,13:04,Debit Card,1775.85,4.7619,88.79,4.7,Krishna Reddy,35
